id,title,created_at,status,user_id
1,Customer Satisfaction Survey,2024-12-22 13:00:00,active,1
2,Employee Feedback Survey,2024-12-22 13:01:00,completed,2
3,Product Quality Survey,2024-12-22 13:02:00,active,3
4,Event Feedback Survey,2024-12-22 13:03:00,active,4
5,Website Usability Survey,2024-12-22 13:04:00,inactive,5
6,Marketing Research Survey,2024-12-22 13:05:00,active,6
7,Customer Loyalty Survey,2024-12-22 13:06:00,completed,7
8,Service Improvement Survey,2024-12-22 13:07:00,active,8
9,Health and Safety Survey,2024-12-22 13:08:00,active,9
10,School Satisfaction Survey,2024-12-22 13:09:00,inactive,10
11,Transportation Survey,2024-12-22 13:10:00,completed,11
12,Social Media Feedback Survey,2024-12-22 13:11:00,active,12
13,Community Needs Survey,2024-12-22 13:12:00,active,13
14,Environmental Awareness Survey,2024-12-22 13:13:00,active,14
15,Educational Resources Survey,2024-12-22 13:14:00,completed,15
16,Financial Wellness Survey,2024-12-22 13:15:00,active,16
17,Product Launch Survey,2024-12-22 13:16:00,active,17
18,Cultural Event Survey,2024-12-22 13:17:00,active,18
19,Workplace Diversity Survey,2024-12-22 13:18:00,active,19
20,Technology Adoption Survey,2024-12-22 13:19:00,active,20
